Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Nigeria,Akwa Ibom,Urue Offong,NGA,NG003030,NG00,January,2017,0,0
Nigeria,Lagos,Ibeju-Lekki,NGA,NG025009,NG02,January,2017,0,0
Nigeria,Lagos,Lagos Island,NGA,NG025014,NG02,January,2017,1,2
Nigeria,Anambra,Nnewi South,NGA,NG004015,NG00,January,2017,0,0
Nigeria,Osun,Orolu,NGA,NG030029,NG03,January,2017,0,0
Nigeria,Ogun,Ijebu East,NGA,NG028008,NG02,January,2017,0,0
Nigeria,Kano,Rano,NGA,NG020032,NG02,January,2017,0,0
Nigeria,Kebbi,Gwandu,NGA,NG022010,NG02,January,2017,0,0
Nigeria,Imo,Njaba,NGA,NG017013,NG01,January,2017,0,0
Nigeria,Kogi,Okehi,NGA,NG023016,NG02,January,2017,0,0
Nigeria,Kogi,Ankpa,NGA,NG023003,NG02,January,2017,0,0
Nigeria,Niger,Katcha,NGA,NG027010,NG02,January,2017,0,0
Nigeria,Lagos,Ikeja,NGA,NG025011,NG02,January,2017,0,0
Nigeria,Osun,Irepodun,NGA,NG030020,NG03,January,2017,0,0
Nigeria,Rivers,Oyigbo,NGA,NG033021,NG03,January,2017,0,0
Nigeria,Ogun,Ikenne,NGA,NG028012,NG02,January,2017,0,0
Nigeria,Kano,Gezawa,NGA,NG020017,NG02,January,2017,0,0
Nigeria,Sokoto,Gwadabawa,NGA,NG034005,NG03,January,2017,0,0
Nigeria,Ondo,Idanre,NGA,NG029008,NG02,January,2017,0,0
Nigeria,Kano,Ungogo,NGA,NG020042,NG02,January,2017,0,0
Nigeria,Kebbi,Maiyama,NGA,NG022014,NG02,January,2017,0,0
Nigeria,Delta,Ukwuani,NGA,NG010021,NG01,January,2017,1,3
Nigeria,Kogi,Idah,NGA,NG023007,NG02,January,2017,0,0
Nigeria,Kano,Kano Municipal,NGA,NG020021,NG02,January,2017,0,0
Nigeria,Katsina,Matazu,NGA,NG021028,NG02,January,2017,0,0
Nigeria,Kebbi,Alieru,NGA,NG022001,NG02,January,2017,0,0
